reference_riot_id,source_player_name,source_tag,matches_analyzed,current_rank_mode,match_rank_mode,avg_team_rank_mode,avg_team_rank_mean_value,avg_team_rank_nearest,avg_team_rank_group,wins,losses,draws,winrate,total_kills,total_deaths,total_assists,total_rounds,recent_kd,recent_kda,recent_acs,recent_tracker_score,recent_adr,recent_dda,recent_hs,recent_kast,recent_first_kills,recent_first_deaths,recent_entry_success,recent_entry_activity,recent_multi_kill_rate,acs_std,trs_std,main_agent,main_map
Тифай#7020,Тифай,7020,20,Bronze 2,Bronze 2,Bronze 1,4.1,Bronze 1,Bronze,7,13,0,35.0,296,306,135,419,0.967,1.408,199.0,486.2,118.2,6.17,23.85,61.15,32,36,47.06,16.23,38.42,63.93,247.71,Omen,Lotus
Gianpier#7460,Gianpier,7460,20,Gold 1,Gold 1,Bronze 2,4.35,Bronze 1,Bronze,10,10,0,50.0,313,310,157,416,1.01,1.516,216.2,563.4,135.11,4.06,24.05,67.35,42,34,55.26,18.27,24.04,61.4,264.39,Omen,Breeze
VirtuousNeedle#gnx,VirtuousNeedle,gnx,20,Silver 3,Silver 3,Bronze 2,4.95,Bronze 2,Bronze,8,12,0,40.0,344,261,113,384,1.318,1.751,258.1,655.75,162.78,63.6,22.65,68.2,52,33,61.18,22.14,47.66,110.1,238.66,Raze,Haven
Dettez#deMar,Dettez,deMar,20,Silver 2,Silver 2,Bronze 3,6.25,Bronze 3,Bronze,13,7,0,65.0,334,285,69,420,1.172,1.414,221.1,614.0,142.16,28.51,24.2,69.55,56,46,54.9,24.29,29.52,58.7,216.17,Chamber,Split
T I Z Z I A N O#1007,T I Z Z I A N O,1007,20,Gold 2,Gold 2,Silver 1,6.55,Silver 1,Silver,15,4,1,75.0,225,266,157,403,0.846,1.436,160.75,485.55,104.65,-23.35,20.5,72.95,19,29,39.58,11.91,2.23,44.9,199.14,Brimstone,Lotus
littekensl#4198,littekensl,4198,20,Gold 3,Gold 3,Silver 3,7.0,Silver 1,Silver,11,8,1,55.0,418,320,112,432,1.306,1.656,277.15,717.95,175.03,66.11,25.7,67.35,71,65,52.21,31.48,60.88,86.38,185.75,Chamber,Lotus
handrolld500#LAS,handrolld500,LAS,20,Gold 2,Gold 2,Silver 3,7.35,Silver 1,Silver,9,10,1,45.0,376,310,77,428,1.213,1.461,246.35,608.1,156.76,25.52,24.85,66.65,59,44,57.28,24.07,34.58,67.43,241.3,Raze,Ascent
sinakaa#8483,sinakaa,8483,20,Silver 3,Silver 3,Silver 1,7.5,Silver 1,Silver,7,11,2,35.0,312,327,175,440,0.954,1.489,194.15,489.95,109.97,5.19,34.3,62.9,38,28,57.58,15.0,204.55,76.33,218.27,Clove,Haven
KAOS#IAM,KAOS,IAM,20,Gold 2,Gold 2,Silver 1,7.6,Silver 2,Silver,8,12,0,40.0,275,310,180,415,0.887,1.468,204.7,515.7,128.42,2.77,19.35,67.85,33,48,40.74,19.52,106.27,52.67,240.73,Breach,Pearl
dgljnl finalboss#taeko,dgljnl finalboss,taeko,20,Platinum 2,Platinum 2,Silver 2,7.6,Silver 2,Silver,10,9,1,50.0,440,329,89,429,1.337,1.608,280.6,711.9,182.36,30.1,32.05,76.8,66,53,55.46,27.74,10.49,67.71,206.49,Clove,Haven
