player_name,tag,riot_id,reason,failed_at
jsh,WV90,jsh#WV90,No cargaron partidas visibles automáticamente,2026-06-02T17:04:23
King Richi,king,King Richi#king,No cargaron partidas visibles automáticamente,2026-06-02T18:07:09
Hans127,LAS,Hans127#LAS,No cargaron partidas visibles automáticamente,2026-06-02T18:07:52
FrancoElGorila,goat,FrancoElGorila#goat,No cargaron partidas visibles automáticamente,2026-06-02T18:08:35
paparoti,CBNG,paparoti#CBNG,No cargaron partidas visibles automáticamente,2026-06-02T18:09:18
kieff,CBNG,kieff#CBNG,No cargaron partidas visibles automáticamente,2026-06-02T18:10:01
duby do bronx,477,duby do bronx#477,No cargaron partidas visibles automáticamente,2026-06-22T20:02:05
TulaShyydeuS,Flo,TulaShyydeuS#Flo,No cargaron partidas visibles automáticamente,2026-06-22T20:02:48
fay,1997,fay#1997,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://tracker.gg/valorant/profile/riot/fay%231997/matches?playlist=competitive&platform=pc
Call log:
  - navigating to ""https://tracker.gg/valorant/profile/riot/fay%231997/matches?playlist=competitive&platform=pc"", waiting until ""domcontentloaded""
",2026-06-23T14:46:36
lonely,JaaiX,lonely#JaaiX,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://tracker.gg/valorant/profile/riot/lonely%23JaaiX/matches?playlist=competitive&platform=pc
Call log:
  - navigating to ""https://tracker.gg/valorant/profile/riot/lonely%23JaaiX/matches?playlist=competitive&platform=pc"", waiting until ""domcontentloaded""
",2026-06-23T14:46:40
sakuta,nano,sakuta#nano,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://tracker.gg/valorant/profile/riot/sakuta%23nano/matches?playlist=competitive&platform=pc
Call log:
  - navigating to ""https://tracker.gg/valorant/profile/riot/sakuta%23nano/matches?playlist=competitive&platform=pc"", waiting until ""domcontentloaded""
",2026-06-23T14:46:44
PEEK PureDePapa,SUP,PEEK PureDePapa#SUP,No se extrajeron partidas,2026-06-23T15:02:19
SashydeuS,666,SashydeuS#666,No se extrajeron partidas,2026-06-23T15:13:39
爱 LolaPistola,Lele,爱 LolaPistola#Lele,No se extrajeron partidas,2026-06-23T15:16:41
Sebaツ,seba1,Sebaツ#seba1,No se extrajeron partidas,2026-06-23T15:25:38
SashydeuS,666,SashydeuS#666,No se extrajeron partidas,2026-06-23T17:41:26
爱 LolaPistola,Lele,爱 LolaPistola#Lele,No se extrajeron partidas,2026-06-23T17:44:29
Sebaツ,seba1,Sebaツ#seba1,No se extrajeron partidas,2026-06-23T17:47:29
Athexo,0110,Athexo#0110,No se extrajeron partidas,2026-06-23T18:02:13
flufy final boss,siu67,flufy final boss#siu67,No se extrajeron partidas,2026-06-23T18:17:10
SoKo9,LAS,SoKo9#LAS,No se extrajeron partidas,2026-06-23T18:29:06
Sebaツ,seba1,Sebaツ#seba1,No se extrajeron partidas,2026-06-23T20:14:51
flufy final boss,siu67,flufy final boss#siu67,No se extrajeron partidas,2026-06-23T20:20:59
Lowkeyy,6969,Lowkeyy#6969,No se extrajeron partidas,2026-06-23T20:45:06
Lowkeyy,6969,Lowkeyy#6969,No se extrajeron partidas,2026-06-23T22:14:56
π didi,9944,π didi#9944,No se extrajeron partidas,2026-06-23T22:17:57
lothar matthäus,lukaa,lothar matthäus#lukaa,No se extrajeron partidas,2026-06-23T22:38:47
eeriS2,NiKo,eeriS2#NiKo,No se extrajeron partidas,2026-06-23T22:41:52
ñengito,1821,ñengito#1821,Jugador incompleto: 8/20 partidas válidas,2026-06-23T22:44:51
LUCASdhe2,LAS,LUCASdhe2#LAS,No se extrajeron partidas,2026-06-23T22:56:53
LH NiKo,erii,LH NiKo#erii,No se extrajeron partidas,2026-06-23T22:59:58
seltac,kincc,seltac#kincc,No se extrajeron partidas,2026-06-23T23:03:00
GainfulSplatter,LAS,GainfulSplatter#LAS,No se extrajeron partidas,2026-06-23T23:07:21
FixBound,LAS,FixBound#LAS,No se extrajeron partidas,2026-06-23T23:13:24
pollitopio,0023,pollitopio#0023,No se extrajeron partidas,2026-06-23T23:19:42
gianpifran,5036,gianpifran#5036,No se extrajeron partidas,2026-06-23T23:45:23
gianpifran,5036,gianpifran#5036,No se extrajeron partidas,2026-06-24T01:32:56
pompeji,pepa,pompeji#pepa,No se extrajeron partidas,2026-06-24T01:36:17
Floyymenor,4717,Floyymenor#4717,No se extrajeron partidas,2026-06-24T01:45:52
P0melitoxd,2909,P0melitoxd#2909,No se extrajeron partidas,2026-06-24T02:07:56
Austinnqy,0101,Austinnqy#0101,No se extrajeron partidas,2026-06-24T02:11:22
tripi tropi,00000,tripi tropi#00000,No se extrajeron partidas,2026-06-24T02:23:55
gianpifran,5036,gianpifran#5036,No se extrajeron partidas,2026-06-24T08:21:11
pompeji,pepa,pompeji#pepa,No se extrajeron partidas,2026-06-24T08:24:14
Floyymenor,4717,Floyymenor#4717,No se extrajeron partidas,2026-06-24T08:27:17
P0melitoxd,2909,P0melitoxd#2909,No se extrajeron partidas,2026-06-24T08:30:35
Austinnqy,0101,Austinnqy#0101,No se extrajeron partidas,2026-06-24T08:33:35
tripi tropi,00000,tripi tropi#00000,No se extrajeron partidas,2026-06-24T08:36:36
Ruffar,LAS,Ruffar#LAS,No se extrajeron partidas,2026-06-24T08:42:32
SrC4ST1GO,4092,SrC4ST1GO#4092,No se extrajeron partidas,2026-06-24T08:51:26
gianpifran,5036,gianpifran#5036,No se extrajeron partidas,2026-06-24T10:30:45
pompeji,pepa,pompeji#pepa,No se extrajeron partidas,2026-06-24T10:33:57
Floyymenor,4717,Floyymenor#4717,No se extrajeron partidas,2026-06-24T10:37:19
P0melitoxd,2909,P0melitoxd#2909,No se extrajeron partidas,2026-06-24T10:40:41
Austinnqy,0101,Austinnqy#0101,No se extrajeron partidas,2026-06-24T10:43:55
tripi tropi,00000,tripi tropi#00000,No se extrajeron partidas,2026-06-24T10:47:08
Ruffar,LAS,Ruffar#LAS,No se extrajeron partidas,2026-06-24T10:50:21
SrC4ST1GO,4092,SrC4ST1GO#4092,No se extrajeron partidas,2026-06-24T10:53:40
Tramadol,LASPA,Tramadol#LASPA,No se extrajeron partidas,2026-06-24T10:56:57
Darky,9303,Darky#9303,No se extrajeron partidas,2026-06-24T11:03:24
J3ff3pstein,qpasa,J3ff3pstein#qpasa,No se extrajeron partidas,2026-06-24T11:11:08
BAKI,B31,BAKI#B31,No se extrajeron partidas,2026-06-24T11:20:47
gianpifran,5036,gianpifran#5036,No se extrajeron partidas,2026-06-24T13:12:17
pompeji,pepa,pompeji#pepa,No se extrajeron partidas,2026-06-24T13:15:21
Floyymenor,4717,Floyymenor#4717,No se extrajeron partidas,2026-06-24T13:18:26
P0melitoxd,2909,P0melitoxd#2909,No se extrajeron partidas,2026-06-24T13:21:33
Austinnqy,0101,Austinnqy#0101,No se extrajeron partidas,2026-06-24T13:24:36
tripi tropi,00000,tripi tropi#00000,No se extrajeron partidas,2026-06-24T13:27:39
Ruffar,LAS,Ruffar#LAS,No se extrajeron partidas,2026-06-24T13:30:41
SrC4ST1GO,4092,SrC4ST1GO#4092,No se extrajeron partidas,2026-06-24T13:33:43
Tramadol,LASPA,Tramadol#LASPA,No se extrajeron partidas,2026-06-24T13:36:45
Darky,9303,Darky#9303,No se extrajeron partidas,2026-06-24T13:39:47
J3ff3pstein,qpasa,J3ff3pstein#qpasa,No se extrajeron partidas,2026-06-24T13:42:48
gianpifran,5036,gianpifran#5036,"list indices must be integers or slices, not str",2026-06-24T13:47:24
pompeji,pepa,pompeji#pepa,"list indices must be integers or slices, not str",2026-06-24T13:47:55
Floyymenor,4717,Floyymenor#4717,"list indices must be integers or slices, not str",2026-06-24T13:48:25
P0melitoxd,2909,P0melitoxd#2909,"list indices must be integers or slices, not str",2026-06-24T13:48:56
Austinnqy,0101,Austinnqy#0101,"list indices must be integers or slices, not str",2026-06-24T13:49:27
tripi tropi,00000,tripi tropi#00000,"list indices must be integers or slices, not str",2026-06-24T13:49:58
Ruffar,LAS,Ruffar#LAS,"list indices must be integers or slices, not str",2026-06-24T13:50:28
SrC4ST1GO,4092,SrC4ST1GO#4092,"list indices must be integers or slices, not str",2026-06-24T13:50:59
Tramadol,LASPA,Tramadol#LASPA,"list indices must be integers or slices, not str",2026-06-24T13:51:30
Darky,9303,Darky#9303,"list indices must be integers or slices, not str",2026-06-24T13:52:00
gianpifran,5036,gianpifran#5036,"list indices must be integers or slices, not str",2026-06-24T15:13:53
pompeji,pepa,pompeji#pepa,"list indices must be integers or slices, not str",2026-06-24T15:14:23
Floyymenor,4717,Floyymenor#4717,"list indices must be integers or slices, not str",2026-06-24T15:14:53
P0melitoxd,2909,P0melitoxd#2909,"list indices must be integers or slices, not str",2026-06-24T15:15:24
Austinnqy,0101,Austinnqy#0101,"list indices must be integers or slices, not str",2026-06-24T15:15:54
tripi tropi,00000,tripi tropi#00000,"list indices must be integers or slices, not str",2026-06-24T15:16:24
Ruffar,LAS,Ruffar#LAS,"list indices must be integers or slices, not str",2026-06-24T15:16:55
SrC4ST1GO,4092,SrC4ST1GO#4092,"list indices must be integers or slices, not str",2026-06-24T15:17:25
Darky,9303,Darky#9303,"list indices must be integers or slices, not str",2026-06-24T15:20:51
J3ff3pstein,qpasa,J3ff3pstein#qpasa,"list indices must be integers or slices, not str",2026-06-24T15:21:22
BAKI,B31,BAKI#B31,"list indices must be integers or slices, not str",2026-06-24T15:21:52
Itoshi Sae,loco,Itoshi Sae#loco,"list indices must be integers or slices, not str",2026-06-24T15:45:42
MLK KING,5605,MLK KING#5605,"list indices must be integers or slices, not str",2026-06-24T15:58:09
Sunix,00001,Sunix#00001,"list indices must be integers or slices, not str",2026-06-24T16:01:38
Andress,0429,Andress#0429,"list indices must be integers or slices, not str",2026-06-24T16:02:08
Itoshi Sae,loco,Itoshi Sae#loco,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://tracker.gg/valorant/profile/riot/Itoshi%20Sae%23loco/matches?playlist=competitive&platform=pc
Call log:
  - navigating to ""https://tracker.gg/valorant/profile/riot/Itoshi%20Sae%23loco/matches?playlist=competitive&platform=pc"", waiting until ""domcontentloaded""
",2026-06-24T17:36:41
MLK KING,5605,MLK KING#5605,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://tracker.gg/valorant/profile/riot/MLK%20KING%235605/matches?playlist=competitive&platform=pc
Call log:
  - navigating to ""https://tracker.gg/valorant/profile/riot/MLK%20KING%235605/matches?playlist=competitive&platform=pc"", waiting until ""domcontentloaded""
",2026-06-24T17:36:45
Sunix,00001,Sunix#00001,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://tracker.gg/valorant/profile/riot/Sunix%2300001/matches?playlist=competitive&platform=pc
Call log:
  - navigating to ""https://tracker.gg/valorant/profile/riot/Sunix%2300001/matches?playlist=competitive&platform=pc"", waiting until ""domcontentloaded""
",2026-06-24T17:36:49
Andress,0429,Andress#0429,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://tracker.gg/valorant/profile/riot/Andress%230429/matches?playlist=competitive&platform=pc
Call log:
  - navigating to ""https://tracker.gg/valorant/profile/riot/Andress%230429/matches?playlist=competitive&platform=pc"", waiting until ""domcontentloaded""
",2026-06-24T17:36:53
Pepolitz,lucho,Pepolitz#lucho,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://tracker.gg/valorant/profile/riot/Pepolitz%23lucho/matches?playlist=competitive&platform=pc
Call log:
  - navigating to ""https://tracker.gg/valorant/profile/riot/Pepolitz%23lucho/matches?playlist=competitive&platform=pc"", waiting until ""domcontentloaded""
",2026-06-24T17:36:57
starken,7821,starken#7821,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://tracker.gg/valorant/profile/riot/starken%237821/matches?playlist=competitive&platform=pc
Call log:
  - navigating to ""https://tracker.gg/valorant/profile/riot/starken%237821/matches?playlist=competitive&platform=pc"", waiting until ""domcontentloaded""
",2026-06-24T17:37:01
burger y coquita,n45,burger y coquita#n45,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://tracker.gg/valorant/profile/riot/burger%20y%20coquita%23n45/matches?playlist=competitive&platform=pc
Call log:
  - navigating to ""https://tracker.gg/valorant/profile/riot/burger%20y%20coquita%23n45/matches?playlist=competitive&platform=pc"", waiting until ""domcontentloaded""
",2026-06-24T17:37:05
Pelado,69420,Pelado#69420,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://tracker.gg/valorant/profile/riot/Pelado%2369420/matches?playlist=competitive&platform=pc
Call log:
  - navigating to ""https://tracker.gg/valorant/profile/riot/Pelado%2369420/matches?playlist=competitive&platform=pc"", waiting until ""domcontentloaded""
",2026-06-24T17:37:09
enebe,tupu,enebe#tupu,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://tracker.gg/valorant/profile/riot/enebe%23tupu/matches?playlist=competitive&platform=pc
Call log:
  - navigating to ""https://tracker.gg/valorant/profile/riot/enebe%23tupu/matches?playlist=competitive&platform=pc"", waiting until ""domcontentloaded""
",2026-06-24T17:37:13
YËP ElSucioNemo,NEMO,YËP ElSucioNemo#NEMO,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://tracker.gg/valorant/profile/riot/Y%C3%8BP%20ElSucioNemo%23NEMO/matches?playlist=competitive&platform=pc
Call log:
  - navigating to ""https://tracker.gg/valorant/profile/riot/Y%C3%8BP%20ElSucioNemo%23NEMO/matches?playlist=competitive&platform=pc"", waiting until ""domcontentloaded""
",2026-06-24T17:37:17
Axel367,safi,Axel367#safi,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://tracker.gg/valorant/profile/riot/Axel367%23safi/matches?playlist=competitive&platform=pc
Call log:
  - navigating to ""https://tracker.gg/valorant/profile/riot/Axel367%23safi/matches?playlist=competitive&platform=pc"", waiting until ""domcontentloaded""
",2026-06-24T17:37:21
Itoshi Sae,loco,Itoshi Sae#loco,"list indices must be integers or slices, not str",2026-06-24T17:38:16
Sunix,00001,Sunix#00001,"list indices must be integers or slices, not str",2026-06-24T17:41:47
Pepolitz,lucho,Pepolitz#lucho,"list indices must be integers or slices, not str",2026-06-24T17:45:17
burger y coquita,n45,burger y coquita#n45,"list indices must be integers or slices, not str",2026-06-24T17:48:49
enebe,tupu,enebe#tupu,"list indices must be integers or slices, not str",2026-06-24T17:53:13
MCK Roboute,7007,MCK Roboute#7007,"list indices must be integers or slices, not str",2026-06-24T17:59:53
LCZ pinkman,LCZ,LCZ pinkman#LCZ,"list indices must be integers or slices, not str",2026-06-24T18:12:31
Traumadas Lover,2005,Traumadas Lover#2005,"list indices must be integers or slices, not str",2026-06-24T18:22:06
Itoshi Sae,loco,Itoshi Sae#loco,"list indices must be integers or slices, not str",2026-06-24T21:12:01
